iata,name,long,lat,totalflights,numberofdelays,delaypercentage,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay,betweenness,outdegree,indegree
BRO,Brownsville/S.Padre Island International,25.90683333,-97.42586111,1464.0,212.0,14.0,2677.0,909.0,5137.0,0.0,5077.0,0.0,0.0033112582781456954,0.0033112582781456954
BRW,Wiley Post Will Rogers Memorial,71.2854475,-156.76600190000002,728.0,221.0,30.0,1152.0,638.0,508.0,1071.0,8143.0,5.50042903346461e-06,0.006622516556291391,0.006622516556291391
BTM,Bert Mooney,45.95479528,-112.49746,708.0,49.0,6.0,120.0,440.0,572.0,17.0,1283.0,0.0,0.0033112582781456954,0.006622516556291391
BTR,"Baton Rouge Metropolitan, Ryan ",30.53316083,-91.14963444,8941.0,1969.0,22.0,38365.0,14269.0,41534.0,127.0,42289.0,0.0,0.023178807947019868,0.023178807947019868
BTV,Burlington International,44.47300361,-73.1503125,7005.0,1748.0,24.0,26260.0,3929.0,62679.0,228.0,31045.0,1.2057988110469155e-05,0.03642384105960265,0.039735099337748346
BUF,Buffalo Niagara Intl,42.94052472,-78.73216667,26281.0,5446.0,20.0,67318.0,25183.0,151521.0,1245.0,124788.0,1.5642741549332617e-05,0.0728476821192053,0.0728476821192053
BUR,Burbank-Glendale-Pasadena,34.20061917,-118.3584969,31405.0,4496.0,14.0,41733.0,5633.0,59623.0,109.0,128567.0,9.89287509531947e-06,0.046357615894039736,0.04304635761589404
BWI,Baltimore-Washington International,39.17540167,-76.66819833,104074.0,20273.0,19.0,275351.0,53159.0,291794.0,2779.0,537290.0,0.0037741554830833324,0.20860927152317882,0.2119205298013245
BZN,Gallatin ,45.77690139,-111.15300719999999,4659.0,772.0,16.0,11162.0,3439.0,15479.0,0.0,18756.0,0.0006471544812097887,0.026490066225165563,0.026490066225165563
CAE,Columbia Metropolitan,33.93884,-81.11953944,10550.0,2334.0,22.0,63677.0,4927.0,61881.0,154.0,36979.0,9.285002434225106e-07,0.033112582781456956,0.033112582781456956
CAK,Akron-Canton Regional,40.91631194,-81.44246556,8994.0,1994.0,22.0,33343.0,6871.0,53204.0,76.0,37888.0,7.585186952322513e-06,0.039735099337748346,0.04304635761589404
CDC,Cedar City Muni,37.70097028,-113.098575,668.0,66.0,9.0,1162.0,29.0,373.0,0.0,2539.0,0.0,0.009933774834437087,0.0033112582781456954
CDV,Merle K (Mudhole) Smith,60.49183389,-145.4776503,725.0,163.0,22.0,1034.0,35.0,525.0,78.0,9392.0,0.0017185602694652592,0.006622516556291391,0.006622516556291391
CEC,Jack McNamara ,41.78015722,-124.23653329999999,1063.0,378.0,35.0,4297.0,770.0,16016.0,0.0,9213.0,0.0,0.006622516556291391,0.006622516556291391
CHA,Lovell ,35.03526833,-85.20378778,4571.0,786.0,17.0,15927.0,5981.0,18733.0,0.0,13616.0,0.0,0.023178807947019868,0.023178807947019868
CHO,Charlottesville-Albermarle,38.13863889,-78.45286111,823.0,168.0,20.0,3245.0,1443.0,5107.0,45.0,1347.0,0.0,0.009933774834437087,0.006622516556291391
CHS,Charleston AFB/International,32.89864639,-80.04050583,14181.0,3102.0,21.0,49613.0,12612.0,79791.0,55.0,50058.0,9.285002434225106e-07,0.046357615894039736,0.046357615894039736
